target_id	length	eff_length	est_counts	tpm
YCL026C-A	562	539	0	0
YCL026C-B	562	539	38	291.055
YCL027W	1519	1496	1	2.75962
YCL028W	1198	1175	40	140.541
YCL029C	1303	1280	5	16.1265
YCL030C	2380	2357	75	131.366
YCL031C	874	851	10	48.5122
YCL032W	1021	998	5	20.6833
YCL033C	487	464	7	62.2817
YCL034W	1045	1022	11	44.4347
YCL035C	313	290	28	398.603
YCL036W	1681	1658	1	2.48998
YCL037C	1285	1262	34	111.224
YCL038C	1567	1544	16	42.7812
YCL039W	2218	2195	13	24.4506
YCL040W	1483	1460	330.595	934.812
YCL042W	340	317	4.40471	57.3639
YCL043C	1549	1526	201	543.779
YCL044C	1234	1211	14	47.727
YCL045C	2263	2240	36	66.3491
YCL047C	757	734	4	22.498
YCL048W	1372	1349	2	6.12066
YCL048W-A	220	197	1	20.9563
YCL049C	919	896	14	64.5061
YCL050C	946	923	52	232.585
YCL051W	1732	1709	8	19.3254
YCL052C	1231	1208	12	41.0105
YCL054W	2506	2483	11	18.2893
YCL054W-A	67	44	0	0
YCL055W	988	965	9	38.5031
YCL056C	415	392	2	21.0632
YCL057C-A	274	251	36	592.119
YCL057W	2119	2096	36	70.9074
YCL058C	439	416	0	0
YCL058W-A	322	299	4	55.2293
YCL059C	931	908	12	54.5602
YCL061C	3271	3248	6	7.62633
YCL063W	1252	1229	3	10.0774
YCL064C	1063	1040	56	222.298
YCL066W	508	485	0	0
YCL067C	613	590	5.40293	37.8058
YCL068C	763	740	0.708552	3.95294
YCL069W	1357	1334	0	0
YCL073C	1828	1805	0	0
YCR002C	949	926	14	62.4162
YCR003W	532	509	2	16.2216
YCR004C	724	701	31	182.568
YCR005C	1363	1340	795	2449.31
YCR007C	700	677	5	30.4903
YCR008W	1792	1769	30	70.0122
YCR009C	778	755	21	114.829
YCR010C	832	809	4	20.4123
YCR011C	3130	3107	32	42.5196
YCR012W	1231	1208	2126	7265.69
YCR014C	1729	1706	1	2.41992
YCR015C	934	911	5	22.6586
YCR016W	853	830	5	24.8698
YCR017C	2842	2819	13	19.0383
YCR018C	646	623	0	0
YCR019W	1072	1049	0	0
YCR020C	628	605	5	34.1189
YCR020C-A	247	224	4	73.7212
YCR020W-B	217	194	2	42.5607
YCR021C	979	956	2326	10044.6
YCR023C	1816	1793	4	9.21001
YCR024C	1459	1436	2	5.74984
YCR024C-A	103	80	38.1311	1967.75
YCR024C-B	247	224	0	0
YCR026C	2209	2186	7	13.2199
YCR027C	610	587	5	35.1651
YCR028C	1519	1496	8	22.0769
YCR028C-A	388	365	28	316.698
YCR030C	2593	2570	26	41.7658
YCR031C	394	371	179.559	1998.09
YCR032W	6484	6461	7	4.47279
YCR033W	3661	3638	18	20.4263
YCR034W	1024	1001	13	53.6154
YCR035C	1165	1142	17	61.4559
YCR036W	982	959	13	55.9636
YCR037C	2752	2729	6	9.07671
YCR038C	1909	1886	3.29145	7.20487
YCR039C	613	590	5.40293	37.8058
YCR040W	508	485	0	0
YCR041W	313	290	1.95657	27.8533
YCR042C	4204	4181	15.0434	14.8541
YCR043C	364	341	5	60.5336
YCR044C	1054	1031	7	28.0298
YCR045C	1456	1433	0	0
YCR046C	490	467	6	53.0414
YCR047C	808	785	3	15.7773
YCR048W	1813	1790	6	13.8382
YCR050C	289	266	0	0
YCR051W	649	626	9	59.3538
YCR052W	1432	1409	9	26.3701
YCR053W	1525	1502	110	302.345
YCR054C	1672	1649	5	12.5179
YCR057C	2752	2729	4	6.05114
YCR059C	757	734	5	28.1225
YCR060W	316	293	1	14.0901
YCR061W	1876	1853	17	37.8751
YCR063W	454	431	2	19.1573
YCR065W	1675	1652	7	17.4932
YCR066W	1444	1421	2	5.81054
YCR067C	3178	3155	20.5071	26.834
YCR068W	1543	1520	15	40.7407
YCR069W	937	914	18	81.3031
YCR071C	421	398	6	62.237
YCR072C	1528	1505	5	13.7156
YCR073C	3976	3953	1	1.04437
YCR073W-A	928	905	10	45.6176
YCR075C	763	740	3	16.7367
YCR075W-A	208	185	4	89.2625
YCR076C	733	710	5	29.0732
YCR077C	2371	2348	43	75.6051
YCR079W	1309	1286	3	9.63077
YCR081W	4264	4241	6	5.84068
YCR082W	367	344	6	72.0068
YCR083W	364	341	24	290.561
YCR084C	2122	2099	31	60.9719
YCR086W	553	530	4	31.1576
YCR087C-A	442	419	4	39.4118
YCR088W	1759	1736	84	199.761
YCR089W	4810	4787	0	0
YCR090C	529	506	10	81.5887
YCR091W	2143	2120	5	9.73677
YCR092C	3037	3014	6	8.21842
YCR093W	6307	6284	48	31.5345
YCR094W	1156	1133	4	14.5751
YCR095C	1069	1046	13	51.3088
YCR095W-A	139	116	0	0
YCR096C	340	317	5.19414	67.6449
YCR097W	361	338	4	48.8567
YCR098C	1537	1514	1	2.72681
YCR099C	448	425	0	0
YCR100C	931	908	0	0
YCR101C	529	506	0	0
YCR102C	1087	1064	0	0
YCR104W	355	332	0	0
YCR105W	1066	1043	0	0
YCR106W	2479	2456	1	1.68094
YCR107W	1072	1049	0	0
YCR108C	172	149	0	0
YDL001W	1273	1250	7	23.119
YDL002C	592	569	2	14.511
YDL003W	1681	1658	1	2.48998
YDL004W	463	440	75	703.703
YDL005C	1276	1253	15	49.422
YDL006W	826	803	2	10.2824
YDL007C-A	238	215	0	0
YDL007W	1294	1271	56	181.896
YDL008W	478	455	3	27.2201
YDL009C	304	281	4.39563	64.5796
YDL010W	676	653	15.6044	98.6538
YDL012C	304	281	7	102.842
YDL013W	1840	1817	6	13.6325
YDL014W	964	941	51	223.749
YDL015C	913	890	33	153.075
YDL017W	1504	1481	9	25.0881
YDL018C	658	635	3	19.5042
YDL019C	3832	3809	19	20.5932
YDL020C	1576	1553	82	217.983
YDL021W	916	893	14	64.7228
YDL022C-A	229	206	0	0
YDL022W	1156	1133	142	517.415
YDL024C	1387	1364	0	0
YDL025C	1843	1820	17	38.5619
YDL027C	1243	1220	8	27.0714
YDL028C	2275	2252	8	14.6657
YDL029W	1156	1133	40	145.751
YDL030W	1573	1550	6	15.9809
YDL031W	2968	2945	20	28.0366
YDL033C	1234	1211	1	3.40907
YDL035C	2866	2843	17	24.6861
YDL036C	1369	1346	7	21.4701
YDL037C	967	944	0	0
YDL039C	2077	2054	1	2.00993
YDL040C	2545	2522	31	50.7455
YDL042C	1669	1646	8	20.0651
YDL043C	781	758	4	21.7857
YDL044C	1303	1280	8	25.8024
YDL045C	901	878	4	18.8081
YDL045W-A	268	245	10	168.506
YDL046W	502	479	36	310.276
YDL047W	916	893	12	55.4767
YDL048C	1453	1430	89	256.942
YDL049C	787	764	7	37.8255
YDL051W	808	785	9	47.3318
YDL052C	892	869	6	28.5044
YDL053C	538	515	10	80.1629
YDL054C	1441	1418	21	61.1397
YDL055C	1066	1043	185	732.264
YDL056W	2482	2459	8	13.4311
YDL057W	967	944	8	34.9863
YDL058W	5353	5330	9	6.97101
YDL059C	697	674	1	6.12521
YDL060W	2347	2324	12	21.317
YDL061C	151	128	46	1483.64
YDL063C	1843	1820	6	13.6101
YDL064W	454	431	2	19.1573
YDL065C	1009	986	28	117.236
YDL066W	1267	1244	71	235.623
YDL067C	160	137	64	1928.59
YDL069C	670	647	0	0
YDL070W	1897	1874	42	92.5252
YDL072C	592	569	16	116.088
YDL073W	2935	2912	5	7.08858
YDL074C	2083	2060	11	22.0448
YDL075W	322	299	135	1863.99
YDL076C	865	842	5	24.5154
YDL077C	3130	3107	10	13.2874
YDL078C	1012	989	45	187.844
YDL079C	1486	1463	14	39.5061
YDL080C	1810	1787	7	16.1716
YDL081C	301	278	133	1975.09
YDL082W	580	557	73.1826	542.417
YDL083C	412	389	81.0811	860.499
YDL084W	1321	1298	91	289.432
YDL085C-A	187	164	4	100.692
YDL085W	1618	1595	25	64.7083
YDL086W	802	779	21	111.292
YDL087C	766	743	3	16.6691
YDL088C	1567	1544	14	37.4336
YDL089W	1435	1412	11	32.1617
YDL090C	1276	1253	4	13.1792
YDL091C	1348	1325	8	24.9261
YDL092W	421	398	5	51.8642
YDL093W	2212	2189	7	13.2018
YDL095W	2434	2411	50	85.6157
YDL097C	1285	1262	58	189.736
YDL098C	565	542	2	15.2339
YDL099W	1006	983	15	62.9968
YDL100C	1045	1022	21	84.8299
YDL101C	1522	1499	6	16.5246
YDL102W	3274	3251	12	15.2386
YDL103C	1414	1391	25	74.1982
YDL104C	1204	1181	2	6.99134
YDL105W	1189	1166	3	10.6219
YDL106C	1660	1637	18	45.3946
YDL107W	1036	1013	2	8.15082
YDL108W	901	878	6	28.2122
YDL109C	1924	1901	2	4.34339
YDL110C	433	410	45	453.116
YDL111C	778	755	9	49.2126
YDL112W	4291	4268	32	30.9532
YDL113C	1903	1880	15	32.9393
YDL114W	907	884	0	0
YDL115C	1042	1019	8	32.4113
YDL116W	2161	2138	16	30.8953
YDL117W	2638	2615	8	12.6299
YDL119C	904	881	1	4.68603
YDL120W	505	482	6	51.3907
YDL121C	430	407	10	101.435
YDL122W	2410	2387	25	43.2383
