	young	middle	old
Y43F11A.4.1	28.834	33.42	46.733
F10B5.7.1	4.666	7.691	7.032
Y92H12A.1a.1	26.768	28.519	47.243
M79.2.1	14.681	12.685	11.836
F12F6.1.1	52.015	37.246	49.171
Y54E10A.2.1	33.485	20.516	21.804
F44G3.6.1	95.711	155.308	163.817
F14F4.3.1	31.339	29.285	48.662
F53A2.4.1	61.941	90.979	67.64
F21D5.7.1	137.523	116.279	111.072
F54D10.1.1	103.522	70.567	71.597
F09B9.4.1	12.535	17.826	26.991
K11G12.5.1	33.798	37.379	27.351
R12H7.5.1	31.385	34.071	35.816
T19A6.1b.1	48.143	56.049	52.734
ZC155.1.1	277.132	367.622	427.419
H27M09.4.1	16.04	13.177	21.941
F53B2.6.1	18.971	12.927	40.379
K09A9.1.1	12.018	10.637	23.485
M01D7.2a.1	112.307	101.314	151.364
F56H11.4a.1	195.883	130.849	133.487
Y37E11AR.6a.1	15.053	7.033	9.023
T09F3.2.1	32.939	36.557	49.249
CC4.3.1	32.323	25.06	18.039
ZK270.2d.1	11.42	12.616	12.418
M05B5.5a.1	36.89	27.024	59.693
K08H10.7.1	10.264	17.51	12.749
ZK328.5b.1	83.836	74.852	76.106
F56F10.4.1	5.555	2.154	5.24
Y39B6A.20.1	1462.622	680.584	1395.517
Y110A7A.13.1	82.98	84.903	68.966
K11D9.3.1	5.898	7.513	5.525
T05A6.2b.1	23.964	39.451	39.986
F40F9.9.1	18.72	17.73	10.314
T09E8.1c.1	22.613	32.78	35.815
F44F1.7.1	61.077	9.123	17.171
K11D9.2a.1	223.112	203.534	289.017
F35H10.4.1	51.201	41.326	21.571
D1054.15a.1	81.03	52.75	64.926
Y51A2D.17.1	17.338	14.441	15.313
T05A7.4.1	252.743	158.804	367.456
Y45G5AM.1a.1	8.989	2.498	3.155
Y75B8A.17.1	177.25	142.883	190.182
F22B5.7.1	71.616	61.702	75.154
M03A1.6e.1	36.917	37.23	37.448
W06D4.6.1	11.191	19.747	13.811
Y39A1A.3.1	91.538	64.995	72.65
F48F5.5.1	39.938	13.143	17.348
T01E8.2.1	11.413	3.798	4.768
T08A11.2.1	66.575	57.426	63.759
C14C10.6.1	25.334	9.275	15.465
R01H2.5.1	18.074	17.794	20.107
F48F7.1b.1	19.916	11.071	19.859
C05C10.6b.1	88.231	85.969	93.038
Y54E10A.3.1	282.154	261.187	240.188
K07A1.2.1	291.623	255.996	277.15
K01D12.12.1	57.419	139.462	66.291
F40G12.11.1	23.193	12.889	11.321
Y55D9A.1b.1	28.076	27.827	31.878
T23B5.3d.1	16.356	19.323	24.672
Y19D10B.7.1	1099.575	209.564	306.751
Y59E9AL.7.1	102.604	99.607	93.732
Y43F4B.3.1	28.302	16.256	16.804
R03E1.1.1	2.819	4.031	4.823
F15E11.15.1	107.781	10.1	8.2
ZK520.2.1	16.102	29.733	36.118
F54E12.2.1	47.103	62.406	45.224
F39H2.2a.1	37.445	46.45	47.448
R74.5a.1	38.851	41.146	68.462
R01H10.8a.1	7.64	14.02	9.428
C14F5.2.1	23.37	8.264	37.464
ZK1010.2.1	24.503	40.351	34.428
W09G3.7a.1	10.375	10.371	8.19
Y44F5A.1.1	22.543	14.699	11.85
Y43C5A.5a.1	34.873	31.56	43.202
T04H1.9.1	12.962	13.024	23.983
ZC404.8.1	326.684	204.152	232.273
